,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
93,Moose Factory,51.26,-80.61,41.0,48,75,8.05,CA,1603221564
94,Albany,42.6,-73.97,66.0,77,100,0.56,US,1603221178
95,Mataura,-46.19,168.86,44.01,91,73,4.0,NZ,1603221360
96,Labuhan,-6.88,112.21,81.03,79,21,4.83,ID,1603221452
97,Cradock,-32.16,25.62,54.73,51,0,8.9,ZA,1603221839
98,New Norfolk,-42.78,147.06,52.0,71,100,1.92,AU,1603221372
99,Benguela,-12.58,13.41,74.75,79,100,5.14,AO,1603221839
100,Cape Town,-33.93,18.42,59.0,62,0,10.29,ZA,1603221373
101,Port Alfred,-33.59,26.89,60.66,68,0,15.86,ZA,1603221384
102,Souris,49.62,-100.26,30.99,86,90,8.05,CA,1603221831
103,Faanui,-16.48,-151.75,78.6,83,15,16.13,PF,1603221392
104,Butaritari,3.07,172.79,81.73,76,100,12.15,KI,1603221376
105,Waingapu,-9.66,120.26,78.98,77,98,2.3,ID,1603221465
106,Port Alfred,-33.59,26.89,60.66,68,0,15.86,ZA,1603221384
107,Hithadhoo,-0.6,73.08,82.85,78,99,13.06,MV,1603221361
108,Port Lincoln,-34.73,135.87,56.77,86,5,9.84,AU,1603221386
109,Nikolskoye,59.7,30.79,36.0,80,75,4.47,RU,1603221363
110,Iqaluit,63.75,-68.51,30.0,92,90,9.17,CA,1603221364
111,Bambous Virieux,-20.34,57.76,75.99,73,20,10.29,MU,1603221396
112,Bathsheba,13.22,-59.52,87.8,66,75,13.87,BB,1603221455
113,Hilo,19.73,-155.09,79.0,60,1,6.93,US,1603221134
114,Esperance,-33.87,121.9,57.2,100,90,10.29,AU,1603221065
115,Tuktoyaktuk,69.45,-133.04,23.0,85,90,16.11,CA,1603221395
116,Jamestown,42.1,-79.24,50.0,93,90,6.93,US,1603221150
117,São Filipe,14.9,-24.5,85.98,55,100,10.67,CV,1603221376
118,Khorixas,-20.37,14.97,65.64,30,0,8.16,NA,1603221384
119,Kupang,-10.17,123.58,78.62,79,100,3.15,ID,1603221842
120,Rikitea,-23.12,-134.97,73.33,79,0,14.65,PF,1603221360
121,Punta Arenas,-53.15,-70.92,48.2,45,75,14.99,CL,1603221371
122,Inhambane,-23.86,35.38,74.39,87,0,10.74,MZ,1603221456
123,Clyde River,70.47,-68.59,30.2,74,1,12.75,CA,1603221406
124,Atuona,-9.8,-139.03,77.47,75,0,19.04,PF,1603221365
125,Birao,10.28,22.79,79.65,47,0,3.02,CF,1603221844
126,Jamestown,42.1,-79.24,50.0,93,90,6.93,US,1603221150
127,Port Elizabeth,-33.92,25.57,59.0,77,20,5.82,ZA,1603221350
128,Carnarvon,-24.87,113.63,68.0,77,40,19.46,AU,1603221397
129,Leningradskiy,69.38,178.42,33.26,88,100,11.34,RU,1603221424
130,Punta Arenas,-53.15,-70.92,48.2,45,75,14.99,CL,1603221371
131,Barrow,71.29,-156.79,28.4,79,90,11.41,US,1603221198
132,Souillac,-20.52,57.52,75.2,73,20,10.29,MU,1603221406
133,Half Moon Bay,37.46,-122.43,80.01,68,20,3.36,US,1603221443
134,Kurchum,48.57,83.65,41.16,56,0,3.76,KZ,1603221776
135,Aliwal North,-30.69,26.71,58.3,48,0,19.6,ZA,1603221845
136,Busselton,-33.65,115.33,55.99,65,0,8.01,AU,1603221373
137,Salalah,17.02,54.09,80.6,54,22,3.36,OM,1603221328
138,Aklavik,68.22,-135.01,23.0,85,90,14.99,CA,1603221426
139,Rikitea,-23.12,-134.97,73.33,79,0,14.65,PF,1603221360
140,Tual,-5.67,132.75,81.55,77,100,8.32,ID,1603221434
141,Baracoa,20.35,-74.5,83.12,74,54,7.07,CU,1603221833
142,Punta Arenas,-53.15,-70.92,48.2,45,75,14.99,CL,1603221371
143,Khatanga,71.97,102.5,6.96,95,83,8.01,RU,1603221372
144,Chuzhou,32.32,118.3,64.99,76,100,1.63,CN,1603221718
145,Kenai,60.55,-151.26,34.0,92,1,3.96,US,1603221847
146,Port Alfred,-33.59,26.89,60.66,68,0,15.86,ZA,1603221384
147,Korla,41.76,86.15,54.0,69,0,7.0,CN,1603221464
148,Hermanus,-34.42,19.23,55.99,75,0,3.56,ZA,1603221361
149,Esfarāyen,37.08,57.51,57.2,35,0,11.41,IR,1603221848
150,Hermanus,-34.42,19.23,55.99,75,0,3.56,ZA,1603221361
151,Carnarvon,-24.87,113.63,68.0,77,40,19.46,AU,1603221397
152,Nanortalik,60.14,-45.24,37.69,86,100,4.76,GL,1603221384
153,Atuona,-9.8,-139.03,77.47,75,0,19.04,PF,1603221365
154,Praia,14.92,-23.51,86.0,66,100,14.99,CV,1603221848
155,Kahului,20.89,-156.47,84.2,58,20,6.93,US,1603221849
156,Puerto Ayora,-0.74,-90.35,80.6,69,40,23.04,EC,1603221375
157,Provideniya,64.38,-173.3,40.35,95,100,14.76,RU,1603221375
158,Bathsheba,13.22,-59.52,87.8,66,75,13.87,BB,1603221455
159,Bengkulu,-3.8,102.27,77.05,80,100,3.49,ID,1603221383
160,Nanortalik,60.14,-45.24,37.69,86,100,4.76,GL,1603221384
161,Ostrovnoy,68.05,39.51,38.34,77,100,16.69,RU,1603221361
162,Husavik,66.04,-17.34,28.4,86,99,2.33,IS,1603221374
163,Cape Town,-33.93,18.42,59.0,62,0,10.29,ZA,1603221373
164,Mataura,-46.19,168.86,44.01,91,73,4.0,NZ,1603221360
165,Hermanus,-34.42,19.23,55.99,75,0,3.56,ZA,1603221361
166,Ankang,32.68,109.02,54.23,75,76,1.88,CN,1603221851
167,Qaqortoq,60.72,-46.03,37.4,86,75,4.7,GL,1603221382
168,Fallon,39.47,-118.78,72.0,20,40,5.57,US,1603221778
169,Sinnamary,5.38,-52.95,85.21,64,100,14.41,GF,1603221472
170,Erzin,36.96,36.2,78.01,76,4,1.61,TR,1603221793
171,Vila Velha,-20.33,-40.29,77.0,88,90,5.82,BR,1603221506
172,Ribeira Grande,38.52,-28.7,62.6,63,40,8.05,PT,1603221366
173,Rikitea,-23.12,-134.97,73.33,79,0,14.65,PF,1603221360
174,Hilo,19.73,-155.09,79.0,60,1,6.93,US,1603221134
175,Rikitea,-23.12,-134.97,73.33,79,0,14.65,PF,1603221360
176,Carutapera,-1.2,-46.02,86.31,60,34,11.16,BR,1603221853
177,Tuktoyaktuk,69.45,-133.04,23.0,85,90,16.11,CA,1603221395
178,Hermanus,-34.42,19.23,55.99,75,0,3.56,ZA,1603221361
179,Busselton,-33.65,115.33,55.99,65,0,8.01,AU,1603221373
180,La Cruz,23.92,-106.9,91.99,72,16,8.01,MX,1603221853
181,Barrow,71.29,-156.79,28.4,79,90,11.41,US,1603221198
182,East London,-33.02,27.91,60.8,77,20,13.87,ZA,1603221392
183,Acaraú,-2.89,-40.12,83.75,63,28,22.3,BR,1603221854
184,Chifeng,42.27,118.96,43.7,51,1,9.26,CN,1603221854
185,Albany,42.6,-73.97,66.0,77,100,0.56,US,1603221178
186,Rikitea,-23.12,-134.97,73.33,79,0,14.65,PF,1603221360
187,Timrå,62.49,17.33,37.4,93,100,11.41,SE,1603221855
188,Buraidah,26.33,43.98,69.8,30,0,4.32,SA,1603221396
189,Kapaa,22.08,-159.32,77.0,88,75,10.29,US,1603221180
190,Constitución,-35.33,-72.42,62.47,55,0,19.37,CL,1603221759
191,Saskylakh,71.92,114.08,20.7,97,98,7.27,RU,1603221393
192,Aban,56.67,96.06,32.23,98,99,9.53,RU,1603221856
193,Höganäs,56.2,12.56,48.99,81,100,9.17,SE,1603221856
194,Khatanga,71.97,102.5,6.96,95,83,8.01,RU,1603221372
195,Panguna,-6.32,155.48,68.25,97,90,1.21,PG,1603221856
196,Bluff,-46.6,168.33,44.01,91,83,4.0,NZ,1603221384
197,Gumdag,39.21,54.59,59.22,81,0,6.29,TM,1603221857
198,Cape Town,-33.93,18.42,59.0,62,0,10.29,ZA,1603221373
199,Anchorage,61.22,-149.9,30.0,74,1,2.75,US,1603221788
200,Albany,42.6,-73.97,66.0,77,100,0.56,US,1603221178
201,Saint-Philippe,-21.36,55.77,72.0,78,20,2.24,RE,1603221382
202,Kawalu,-7.38,108.21,73.6,90,100,1.88,ID,1603221858
203,Mogadishu,2.04,45.34,79.41,82,0,16.91,SO,1603221097
204,Punta Arenas,-53.15,-70.92,48.2,45,75,14.99,CL,1603221371
205,Rikitea,-23.12,-134.97,73.33,79,0,14.65,PF,1603221360
206,East London,-33.02,27.91,60.8,77,20,13.87,ZA,1603221392
207,Bluff,-46.6,168.33,44.01,91,83,4.0,NZ,1603221384
208,Itzehoe,53.92,9.52,52.0,91,100,4.0,DE,1603221859
209,Pombas,17.15,-25.02,86.0,62,20,21.92,CV,1603221859
210,Hermanus,-34.42,19.23,55.99,75,0,3.56,ZA,1603221361
211,Langsa,4.47,97.97,74.75,94,100,4.7,ID,1603221860
212,Hauterive,46.09,3.45,60.8,59,100,12.75,FR,1603221860
213,Yakeshi,49.28,120.73,36.5,80,100,8.59,CN,1603221860
214,Jamestown,42.1,-79.24,50.0,93,90,6.93,US,1603221150
215,Severo-Kuril'sk,50.68,156.12,40.42,71,77,25.59,RU,1603221383
216,Fairlie,55.76,-4.86,55.0,90,100,1.99,GB,1603221860
217,George Town,5.41,100.34,80.6,94,20,3.36,MY,1603221138
218,Vaini,-21.2,-175.2,73.4,69,20,8.05,TO,1603221365
219,Hilo,19.73,-155.09,79.0,60,1,6.93,US,1603221134
220,Ostrovnoy,68.05,39.51,38.34,77,100,16.69,RU,1603221361
221,Rikitea,-23.12,-134.97,73.33,79,0,14.65,PF,1603221360
222,Muzhi,65.37,64.67,22.78,98,100,4.21,RU,1603221862
223,Tolbazy,54.02,55.88,33.8,76,75,8.95,RU,1603221862
224,Lowestoft,52.48,1.75,57.99,99,100,8.01,GB,1603221862
225,Saint-Philippe,-21.36,55.77,72.0,78,20,2.24,RE,1603221382
226,Faanui,-16.48,-151.75,78.6,83,15,16.13,PF,1603221392
227,Rikitea,-23.12,-134.97,73.33,79,0,14.65,PF,1603221360
228,Port Augusta,-32.5,137.77,60.8,82,0,4.7,AU,1603221863
229,Butaritari,3.07,172.79,81.73,76,100,12.15,KI,1603221376
230,Pisco,-13.7,-76.22,69.01,77,40,10.29,PE,1603221402
231,Nome,64.5,-165.41,33.8,86,20,5.48,US,1603221384
232,Horsham,51.06,-0.33,61.0,82,40,6.93,GB,1603221864
233,Laas,46.62,10.7,50.0,93,40,8.05,IT,1603221456
234,Busselton,-33.65,115.33,55.99,65,0,8.01,AU,1603221373
235,Hermanus,-34.42,19.23,55.99,75,0,3.56,ZA,1603221361
236,Bredasdorp,-34.53,20.04,53.6,76,0,2.24,ZA,1603221383
237,Burē,10.7,37.07,55.71,91,0,4.14,ET,1603221865
238,Souillac,-20.52,57.52,75.2,73,20,10.29,MU,1603221406
239,Rikitea,-23.12,-134.97,73.33,79,0,14.65,PF,1603221360
240,Puerto Suárez,-18.95,-57.8,93.2,63,75,4.63,BO,1603221865
241,Kaitangata,-46.28,169.85,50.0,83,100,1.99,NZ,1603221386
242,Flinders,-34.58,150.86,61.0,89,7,1.01,AU,1603221816
243,Korla,41.76,86.15,54.0,69,0,7.0,CN,1603221464
244,Atuona,-9.8,-139.03,77.47,75,0,19.04,PF,1603221365
245,Butaritari,3.07,172.79,81.73,76,100,12.15,KI,1603221376
246,Ushuaia,-54.8,-68.3,44.6,56,40,19.46,AR,1603221158
247,Bud,39.45,-86.18,55.0,87,90,3.36,US,1603221463
248,Codrington,-38.27,141.97,44.62,90,82,3.44,AU,1603221436
249,Mahibadhoo,3.78,72.97,82.8,79,100,11.97,MV,1603221867
250,Cape Town,-33.93,18.42,59.0,62,0,10.29,ZA,1603221373
251,Bluff,-46.6,168.33,44.01,91,83,4.0,NZ,1603221384
252,Busselton,-33.65,115.33,55.99,65,0,8.01,AU,1603221373
253,Ushuaia,-54.8,-68.3,44.6,56,40,19.46,AR,1603221158
254,Paamiut,61.99,-49.67,36.75,86,100,14.12,GL,1603221472
255,Port Macquarie,-31.43,152.92,54.0,99,5,4.09,AU,1603221806
256,Cidreira,-30.18,-50.21,72.03,80,16,9.8,BR,1603221386
257,Vanavara,60.34,102.28,22.05,98,81,3.67,RU,1603221842
258,Lima,-12.04,-77.03,68.0,68,75,9.17,PE,1603221603
259,Ushuaia,-54.8,-68.3,44.6,56,40,19.46,AR,1603221158
260,Hermanus,-34.42,19.23,55.99,75,0,3.56,ZA,1603221361
261,Hilo,19.73,-155.09,79.0,60,1,6.93,US,1603221134
262,Kandrian,-6.22,149.55,76.51,85,100,3.71,PG,1603221869
263,Vaini,-21.2,-175.2,73.4,69,20,8.05,TO,1603221365
264,Taltal,-25.4,-70.48,66.51,59,22,7.14,CL,1603221759
265,Hithadhoo,-0.6,73.08,82.85,78,99,13.06,MV,1603221361
266,Mataura,-46.19,168.86,44.01,91,73,4.0,NZ,1603221360
267,Øksfjord,70.24,22.35,35.6,94,20,6.93,NO,1603221727
268,Mataura,-46.19,168.86,44.01,91,73,4.0,NZ,1603221360
269,Ossora,59.24,163.07,35.38,87,100,7.83,RU,1603221870
270,Impfondo,1.64,18.07,72.37,95,24,2.46,CG,1603221871
271,Sinnamary,5.38,-52.95,85.21,64,100,14.41,GF,1603221472
272,New Norfolk,-42.78,147.06,52.0,71,100,1.92,AU,1603221372
273,Avarua,-21.21,-159.78,75.2,94,36,8.05,CK,1603221373
274,Hofn,64.25,-15.21,37.17,73,0,5.93,IS,1603221778
275,Puerto Ayora,-0.74,-90.35,80.6,69,40,23.04,EC,1603221375
276,Port Lincoln,-34.73,135.87,56.77,86,5,9.84,AU,1603221386
277,Ponta do Sol,32.67,-17.1,68.0,64,20,3.36,PT,1603221393
278,Atuona,-9.8,-139.03,77.47,75,0,19.04,PF,1603221365
279,Rikitea,-23.12,-134.97,73.33,79,0,14.65,PF,1603221360
280,Saint-Philippe,-21.36,55.77,72.0,78,20,2.24,RE,1603221382
281,Jamestown,42.1,-79.24,50.0,93,90,6.93,US,1603221150
282,Sitka,57.05,-135.33,42.8,87,40,1.61,US,1603221384
283,Puerto Ayora,-0.74,-90.35,80.6,69,40,23.04,EC,1603221375
284,Tasiilaq,65.61,-37.64,32.0,94,75,17.22,GL,1603221397
285,Saint-Philippe,-21.36,55.77,72.0,78,20,2.24,RE,1603221382
286,Mataura,-46.19,168.86,44.01,91,73,4.0,NZ,1603221360
287,Ancud,-41.87,-73.82,53.6,52,0,10.29,CL,1603221415
288,Touros,-5.2,-35.46,86.0,58,40,14.99,BR,1603221383
289,Vardø,70.37,31.11,37.4,74,40,11.41,NO,1603221824
290,Rikitea,-23.12,-134.97,73.33,79,0,14.65,PF,1603221360
291,Flinders,-34.58,150.86,61.0,89,7,1.01,AU,1603221816
292,Chumikan,54.72,135.31,32.56,87,100,1.61,RU,1603221875
293,Bouar,5.93,15.6,69.57,74,26,4.14,CF,1603221875
294,San Cristobal,7.77,-72.22,87.8,58,40,13.87,VE,1603221501
295,Tegul'det,57.31,88.17,34.63,97,100,5.75,RU,1603221876
296,Heraclea,37.51,34.05,59.11,51,100,1.3,TR,1603221876
297,Dikson,73.51,80.55,21.45,96,100,5.37,RU,1603221386
298,Port Alfred,-33.59,26.89,60.66,68,0,15.86,ZA,1603221384
299,Longyearbyen,78.22,15.64,23.0,79,2,5.82,SJ,1603221081
300,Marsá Maţrūḩ,31.35,27.25,75.2,78,40,11.41,EG,1603221737
301,Bluff,-46.6,168.33,44.01,91,83,4.0,NZ,1603221384
302,Barrow,71.29,-156.79,28.4,79,90,11.41,US,1603221198
303,Klaksvík,62.23,-6.59,39.2,71,65,5.82,FO,1603221404
304,College,64.86,-147.8,18.0,78,90,0.78,US,1603221744
305,Butaritari,3.07,172.79,81.73,76,100,12.15,KI,1603221376
306,Atuona,-9.8,-139.03,77.47,75,0,19.04,PF,1603221365
307,Green River,41.53,-109.47,57.2,33,1,26.4,US,1603221654
308,Andenes,69.31,16.12,26.6,86,0,2.24,NO,1603221878
309,Vaini,-21.2,-175.2,73.4,69,20,8.05,TO,1603221365
310,Bredasdorp,-34.53,20.04,53.6,76,0,2.24,ZA,1603221383
311,Cherskiy,68.75,161.3,19.45,96,90,5.55,RU,1603221407
312,Pangnirtung,66.15,-65.71,30.2,68,90,8.05,CA,1603221489
313,Busselton,-33.65,115.33,55.99,65,0,8.01,AU,1603221373
314,Port Alfred,-33.59,26.89,60.66,68,0,15.86,ZA,1603221384
315,Grindavik,63.84,-22.43,37.4,74,75,1.12,IS,1603221386
316,Poum,-20.23,164.02,73.89,71,0,5.48,NC,1603221454
317,Albany,42.6,-73.97,66.0,77,100,0.56,US,1603221178
318,Cherskiy,68.75,161.3,19.45,96,90,5.55,RU,1603221407
319,Mount Gambier,-37.83,140.77,46.4,93,90,3.18,AU,1603221212
320,Salalah,17.02,54.09,80.6,54,22,3.36,OM,1603221328
321,Ushuaia,-54.8,-68.3,44.6,56,40,19.46,AR,1603221158
322,Noumea,-22.28,166.46,75.0,82,4,1.12,NC,1603221880
323,Kattivākkam,13.22,80.32,78.8,94,40,6.93,IN,1603221880
324,Lichinga,-13.31,35.24,69.8,60,2,9.17,MZ,1603221881
325,Kuopio,62.89,27.68,30.2,80,90,8.05,FI,1603221881
326,Esperance,-33.87,121.9,57.2,100,90,10.29,AU,1603221065
327,Puerto Ayora,-0.74,-90.35,80.6,69,40,23.04,EC,1603221375
328,Saint Paul Harbor,57.79,-152.41,44.6,52,1,9.17,US,1603221362
329,Mar del Plata,-38.0,-57.56,59.0,58,0,13.87,AR,1603221376
330,Capinzal,-27.34,-51.61,82.94,44,99,1.48,BR,1603221882
331,Rikitea,-23.12,-134.97,73.33,79,0,14.65,PF,1603221360
332,Rikitea,-23.12,-134.97,73.33,79,0,14.65,PF,1603221360
333,La Ronge,55.1,-105.28,26.6,63,75,4.7,CA,1603221372
334,Mar del Plata,-38.0,-57.56,59.0,58,0,13.87,AR,1603221376
335,Hobart,-42.88,147.33,53.6,81,75,3.36,AU,1603221300
336,Mataura,-46.19,168.86,44.01,91,73,4.0,NZ,1603221360
337,Khatanga,71.97,102.5,6.96,95,83,8.01,RU,1603221372
338,Salalah,17.02,54.09,80.6,54,22,3.36,OM,1603221328
339,Mataura,-46.19,168.86,44.01,91,73,4.0,NZ,1603221360
340,Ribeira Grande,38.52,-28.7,62.6,63,40,8.05,PT,1603221366
341,Yablonovo,50.85,37.36,41.0,73,0,8.95,RU,1603221884
342,Daşoguz,41.84,59.97,50.0,34,0,4.7,TM,1603221884
343,Centralia,46.72,-122.95,59.0,72,1,3.53,US,1603221884
344,Ulfborg,56.27,8.32,51.01,78,100,4.0,DK,1603221884
345,Laguna,38.42,-121.42,82.0,26,5,3.36,US,1603221362
346,Krasnoarmiys'k,48.28,37.18,44.28,65,93,7.34,UA,1603221795
347,Kruisfontein,-34.0,24.73,55.99,83,0,6.31,ZA,1603221433
348,Pozo Colorado,-23.49,-58.8,98.51,28,99,5.37,PY,1603221885
349,Hobart,-42.88,147.33,53.6,81,75,3.36,AU,1603221300
350,Husavik,66.04,-17.34,28.4,86,99,2.33,IS,1603221374
351,Bubaque,11.28,-15.83,82.87,80,15,11.77,GW,1603221472
352,Port Elizabeth,-33.92,25.57,59.0,77,20,5.82,ZA,1603221350
353,Thompson,55.74,-97.86,30.2,63,90,3.36,CA,1603221392
354,Kapaa,22.08,-159.32,77.0,88,75,10.29,US,1603221180
355,Bredasdorp,-34.53,20.04,53.6,76,0,2.24,ZA,1603221383
356,Gossaigaon,26.45,89.99,73.9,86,0,4.25,IN,1603221887
357,Sattahip,12.67,100.9,77.0,83,40,6.93,TH,1603221887
358,Jamestown,42.1,-79.24,50.0,93,90,6.93,US,1603221150
359,Oistins,13.07,-59.53,87.8,66,40,11.41,BB,1603221887
360,Ushuaia,-54.8,-68.3,44.6,56,40,19.46,AR,1603221158
361,Muros,42.78,-9.06,60.01,85,100,4.0,ES,1603221366
362,Bohmte,52.37,8.32,55.0,88,100,3.0,DE,1603221888
363,Ushuaia,-54.8,-68.3,44.6,56,40,19.46,AR,1603221158
364,Nemuro,43.32,145.57,50.04,69,31,1.25,JP,1603221193
365,Geraldton,-28.77,114.6,66.2,72,90,16.11,AU,1603221384
366,Butaritari,3.07,172.79,81.73,76,100,12.15,KI,1603221376
367,Lodja,-3.48,23.43,71.94,91,72,1.3,CD,1603221455
368,Atuona,-9.8,-139.03,77.47,75,0,19.04,PF,1603221365
369,Vardø,70.37,31.11,37.4,74,40,11.41,NO,1603221824
370,Whitefish,48.41,-114.34,46.99,75,1,3.29,US,1603221889
371,Esperance,-33.87,121.9,57.2,100,90,10.29,AU,1603221065
372,Punta Arenas,-53.15,-70.92,48.2,45,75,14.99,CL,1603221371
